Fund/stock,current,cost,pnl,type
CASH-FCD,268358.4693,268358.4693,0.0,Fund/Name
CASH-THB,194290.52,194290.52,0.0,Fund/Name
MTS-Gold,161767.0,166943.4351,-5176.435100000002,Fund/Name
Gold Equity (SCBGOLDE),147803.09,150998.9266593326,-3195.836659332592,Fund/Name
THB-Kbank,129100.0,129100.0,0.0,Fund/Name
Gold Hedged (SCBGOLDHRMF),126546.26,128998.60344051156,-2452.3434405115695,Fund/Name
Gold now,88086.91,89991.0,-1904.0899999999965,Fund/Name
SCBINDIAE,77907.24,80497.77876106194,-2590.5387610619364,Fund/Name
SCBTB(ThaiESGE),61840.24,47717.0,14123.239999999998,Fund/Name
CASH-USD,41567.0,41567.0,0.0,Fund/Name
SCBNDQ(E),40038.65,35900.33082158679,4138.319178413214,Fund/Name
SCBWORLD(E),31429.61,29900.152037299817,1529.457962700184,Fund/Name
THB-SCB,22286.0,22286.0,0.0,Fund/Name
TCHSTRAT,21692.6,20001.09853187506,1691.5014681249377,Fund/Name
SCBGENOME(E),17124.04,14900.694754548224,2223.3452454517774,Fund/Name
SCBRARE(A),9334.0,9999.0,-665.0,Fund/Name
SCBSEMI(E),773.35,400.0,373.35,Fund/Name
SCBVIET(E),460.6,399.36,61.24000000000001,Fund/Name
