Fund/stock,latest_value,latest_cost,pnl,type
MTS-Gold,106173.0,112512.63,-6339.630000000005,Fund/Name
BTC,86915.0,86663.0,252.0,Ticker
SGOV,66429.0,66397.98,31.020000000004075,Ticker
Gold now,52501.0,54991.0,-2490.0,Fund/Name
THB-Kbank,50000.0,50000.0,0.0,Fund/Name
CASH-FCD,45403.0,45403.0,0.0,Fund/Name
Gold Equity (SCBGOLDE),45234.0,49500.0,-4266.0,Fund/Name
Gold Hedged (SCBGOLDHRMF),40395.0,44999.0,-4604.0,Fund/Name
SCBINDIAE,27279.0,27999.0,-720.0,Fund/Name
CLOU,26662.8,21476.85,5185.950000000001,Ticker
CASH-THB,23821.0,23821.0,0.0,Fund/Name
GLDM,23486.0,24538.04,-1052.0400000000009,Ticker
MCHI,23305.0,24109.0921,-804.0921000000017,Ticker
VOO,22473.0,16599.0,5874.0,Ticker
NVO,21516.0,21856.23,-340.22999999999956,Ticker
TJREIT,21403.0,20000.0,1403.0,Ticker
SCBTB(ThaiESGE),15509.0,14318.0,1191.0,Fund/Name
SCBNDQ(E),13474.0,12600.0,874.0,Fund/Name
CIMBT,13320.0,25619.0,-12299.0,Ticker
SAT,11340.0,7834.0,3506.0,Ticker
THB-SCB,11000.0,11000.0,0.0,Fund/Name
SCBWORLD(E),10572.0,10100.0,472.0,Fund/Name
SCBRARE(A),9334.0,9999.0,-665.0,Fund/Name
SCBGENOME(E),6677.0,5350.0,1327.0,Fund/Name
TCHSTRAT,5493.0,5001.0,492.0,Fund/Name
CASH-USD,2965.0,2965.0,0.0,Fund/Name
SCBCEE,2711.0,2500.0,211.0,Ticker
SCBSEMI(E),205.0,100.0,105.0,Fund/Name
SCBVIET(E),111.0,99.36,11.64,Fund/Name
