Fund/stock,latest_value,latest_cost,pnl
BTC,86915.0,86663.0,252.0
CASH,0.0,0.0,0.0
CASH-FCD,45403.0,45403.0,0.0
CASH-THB,23821.0,23821.0,0.0
CASH-USD,2965.0,2965.0,0.0
CIMBT,13320.0,25619.0,-12299.0
CLOU,26662.8,21476.85,5185.950000000001
DBO,0.0,0.0,0.0
GLDM,23486.0,24538.04,-1052.0400000000009
Gold Equity (SCBGOLDE),45234.0,49500.0,-4266.0
Gold Hedged (SCBGOLDHRMF),40395.0,44999.0,-4604.0
Gold now,52501.0,54991.0,-2490.0
MCD,0.0,0.0,0.0
MCHI,23305.0,24109.0921,-804.0921000000017
MTS-Gold,106173.0,112512.63,-6339.630000000005
NVO,21516.0,21856.23,-340.22999999999956
PG,0.0,0.0,0.0
S,0.0,0.0,0.0
SAT,11340.0,7834.0,3506.0
SCBCEE,2711.0,2500.0,211.0
SCBGENOME(E),6677.0,5350.0,1327.0
SCBINDIAE,27279.0,27999.0,-720.0
SCBNDQ(E),13474.0,12600.0,874.0
SCBRARE(A),9334.0,9999.0,-665.0
SCBSEMI(E),205.0,100.0,105.0
SCBTB(ThaiESGE),15509.0,14318.0,1191.0
SCBVIET(E),111.0,99.36,11.64
SCBWORLD(E),10572.0,10100.0,472.0
SGOV,66429.0,66397.98,31.020000000004075
TCHSTRAT,5493.0,5001.0,492.0
THB-Kbank,50000.0,50000.0,0.0
THB-SCB,11000.0,11000.0,0.0
TJREIT,21403.0,20000.0,1403.0
VOO,22473.0,16599.0,5874.0
