Asset Class,Fund/stock,Application,Value(THB),Value(THB).1,Value(THB).2,Value(THB).3,investment (THB),investment (THB).1,investment (THB).2,investment (THB).3,__current_value,__cost_basis,__pnl
Bitcoin,BTC,Binance TH,44040.74,51785.0,48465.0,86915.0,43578.80467049278,51107.0,48350.0,86663.0,231205.74,229698.8046704928,1506.9353295071924
Gold,Gold Equity (SCBGOLDE),SCB Fund Click,20725.12,37290.97,44553.0,45234.0,18999.9266593326,37000.0,45499.0,49500.0,147803.09,150998.9266593326,-3195.836659332592
Gold,GLDM,Dime,,,3338.0,23486.0,,,3235.5844,24538.04,26824.0,27773.6244,-949.6244000000006
Gold,MTS-Gold,Dime,,,55594.0,106173.0,,,54430.8051,112512.63,161767.0,166943.4351,-5176.435100000002
Gold,Gold now,Gold Now,,,35585.91,52501.0,,,35000.0,54991.0,88086.91,89991.0,-1904.0899999999965
Gold,Gold Hedged (SCBGOLDHRMF),SCB Fund Click,17765.47,30906.79,37479.0,40395.0,16000.603440511572,30000.0,37999.0,44999.0,126546.26,128998.60344051156,-2452.3434405115695
DM (US / Dev.),NVO,Dime,15265.31,18413.66,17067.0,21516.0,20749.36794889221,21081.7671,19840.6478,21856.23,72261.97,83528.0128488922,-11266.042848892204
DM (US / Dev.),PG,Dime,93.43,90.26,90.26,,94.14550584441758,49.9255,49.9255,,273.95,193.9965058444176,79.95349415558238
DM (US / Dev.),MCD,Dime,51.66,45.39,45.39,,49.13916103871397,95.6637,95.6637,,142.44,240.466561038714,-98.026561038714
DM (US / Dev.),VOO,SCB InvestX,19171.33,21662.5134,,22473.0,15790.569145869367,16406.4856,16406.4856,16599.0,63306.8434,65202.54034586937,-1895.6969458693711
DM (US / Dev.),SCBNDQ(E),SCB Fund Click,2582.44,10911.21,13071.0,13474.0,2600.1208215867905,9600.21,11100.0,12600.0,40038.65,35900.33082158679,4138.319178413214
DM (US / Dev.),SCBSEMI(E),SCB Fund Click,140.79,200.56,227.0,205.0,100.0,100.0,100.0,100.0,773.35,400.0,373.35
DM (US / Dev.),SCBWORLD(E),SCB Fund Click,3058.61,8060.0,9739.0,10572.0,3100.152037299817,7600.0,9100.0,10100.0,31429.61,29900.152037299817,1529.457962700184
EM (India / China / VN),MCHI,Dime,9273.41,9690.7,17799.0,23305.0,9897.972035436012,10057.5725,18603.0921,24109.0921,60068.11,62667.728735436016,-2599.6187354360154
EM (India / China / VN),SCBCEE,SCB Fund Click,,2609.43,2504.0,2711.0,,2496.0,2499.38,2500.0,7824.43,7495.38,329.0500000000002
EM (India / China / VN),SCBINDIAE,SCB Fund Click,7118.79,18488.45,25021.0,27279.0,7499.778761061946,19000.0,25999.0,27999.0,77907.24,80497.77876106194,-2590.5387610619364
EM (India / China / VN),SCBVIET(E),SCB Fund Click,114.15,118.96,116.49,111.0,100.0,100.0,100.0,99.36,460.6,399.36,61.24000000000001
Bond / Defensive,SGOV,SCB InvestX,63283.5,64709.89,,66429.0,63448.46601163024,64875.449400000005,64875.449400000005,66397.98,194422.39,259597.34481163023,-65174.95481163022
Bond / Defensive,SCBTB(ThaiESGE),SCB Fund Click,15728.24,15388.0,15215.0,15509.0,,16699.0,16700.0,14318.0,61840.24,47717.0,14123.239999999998
Satellite / Thematic,CLOU,Dime,26720.96,30862.1,33888.0,26662.8,27956.643649299014,28757.088,28935.4279,21476.85,118133.86,107126.00954929902,11007.850450700978
Satellite / Thematic,SCBGENOME(E),SCB Fund Click,1328.25,3852.79,5266.0,6677.0,1349.9847545482264,3600.79,4599.92,5350.0,17124.04,14900.694754548224,2223.3452454517774
Cash / Liquidity,CASH-THB,Dime,77891.52,63892.0,28686.0,23821.0,77891.52,63892.0,28686.0,23821.0,194290.52,194290.52,0.0
Cash / Liquidity,CASH-USD,Dime,0.0,,38602.0,2965.0,0.0,,38602.0,2965.0,41567.0,41567.0,0.0
Cash / Liquidity,CASH-FCD,Dime,89396.22,74802.2493,58757.0,45403.0,89396.22,74802.2493,58757.0,45403.0,268358.4693,268358.4693,0.0
Cash / Liquidity,THB-SCB,SCB InvestX,,,11286.0,11000.0,,,11286.0,11000.0,22286.0,22286.0,0.0
Cash / Liquidity,THB-Kbank,Kbank,,,79100.0,50000.0,,,79100.0,50000.0,129100.0,129100.0,0.0
Cash / Liquidity,CASH,Binance TH,8510.0,8509.0,1000.0,0.0,8510.0,8509.0,1000.0,0.0,18019.0,18019.0,0.0
Multi-Asset / Satellite,TCHSTRAT,Dime,5074.6,5485.0,5640.0,5493.0,5000.098531875063,5000.0,5000.0,5001.0,21692.6,20001.09853187506,1691.5014681249377
Multi-Asset / Satellite,TJREIT,Dime,,,,21403.0,,,,20000.0,21403.0,20000.0,1403.0
Multi-Asset / Satellite,SCBRARE(A),Dime,,,,9334.0,,,,9999.0,9334.0,9999.0,-665.0
Satellite / Commodity,DBO,Dime,75018.0,89166.0,40835.0,0.0,54086.51766402307,54957.0241,24795.9392,0.0,205019.0,133839.48096402307,71179.51903597693
Thailand / Legacy,S,SCB InvestX,101412.0,93900.0,0.0,,174938.761428325,174940.0,0.0,0.0,195312.0,349878.761428325,-154566.76142832497
Thailand / Legacy,CIMBT,SCB InvestX,13320.0,13320.0,13320.0,13320.0,25620.3115983843,25619.99,25619.0,25619.0,53280.0,102478.3015983843,-49198.30159838431
Thailand / Legacy,SAT,SCB InvestX,10150.0,10600.0,10710.0,11340.0,8178.887993553585,8139.0,7834.0,7834.0,42800.0,31985.887993553584,10814.112006446416
