Asset Class,Portfolio %,Fund/stock,Application,เป้า 2026,Value(THB),investment (THB),Value(THB).1,investment (THB).1,Value(THB).2,investment (THB).2,Value(THB).3,investment (THB).3,__current_value,__cost_basis
Bitcoin,0.09,BTC,Binance TH,1.0,44040.74,43578.80467049278,51785.0,51107.0,48465.0,48350.0,86915.0,86663.0,231205.74,229698.80467049277
Gold,0.027,Gold Equity (SCBGOLDE),SCB Fund Click,0.3,20725.12,18999.9266593326,37290.97,37000.0,44553.0,45499.0,45234.0,49500.0,147803.09,150998.9266593326
Gold,0.0045,GLDM,Dime,0.05,,,,,3338.0,3235.5844,23486.0,24538.04,26824.0,27773.6244
Gold,0.018,MTS-Gold,Dime,0.2,,,,,55594.0,54430.8051,106173.0,112512.63,161767.0,166943.4351
Gold,0.0135,Gold now,Gold Now,0.15,,,,,35585.91,35000.0,52501.0,54991.0,88086.91,89991.0
Gold,0.027,Gold Hedged (SCBGOLDHRMF),SCB Fund Click,0.3,17765.47,16000.603440511573,30906.79,30000.0,37479.0,37999.0,40395.0,44999.0,126546.26000000001,128998.60344051156
DM (US / Dev.),0.024000000000000004,NVO,Dime,0.1,15265.31,20749.36794889221,18413.66,21081.7671,17067.0,19840.6478,21516.0,21856.23,72261.97,83528.0128488922
DM (US / Dev.),0.0,PG,Dime,0.0,93.43,94.14550584441758,90.26,49.9255,90.26,49.9255,,,273.95,193.99650584441758
DM (US / Dev.),0.0,MCD,Dime,0.0,51.66,49.13916103871397,45.39,95.6637,45.39,95.6637,,,142.44,240.466561038714
DM (US / Dev.),0.10800000000000001,VOO,SCB InvestX,0.45,19171.329999999998,15790.569145869367,21662.5134,16406.4856,,16406.4856,22473.0,16599.0,63306.8434,65202.54034586937
DM (US / Dev.),0.04800000000000001,SCBNDQ(E),SCB Fund Click,0.2,2582.44,2600.1208215867905,10911.21,9600.21,13071.0,11100.0,13474.0,12600.0,40038.65,35900.33082158679
DM (US / Dev.),0.024000000000000004,SCBSEMI(E),SCB Fund Click,0.1,140.79,100.0,200.56,100.0,227.0,100.0,205.0,100.0,773.35,400.0
DM (US / Dev.),0.036,SCBWORLD(E),SCB Fund Click,0.15,3058.61,3100.1520372998175,8060.0,7600.0,9739.0,9100.0,10572.0,10100.0,31429.61,29900.152037299817
EM (India / China / VN),0.024000000000000004,MCHI,Dime,0.2,9273.41,9897.972035436012,9690.7,10057.5725,17799.0,18603.0921,23305.0,24109.0921,60068.11,62667.728735436016
EM (India / China / VN),0.0,SCBCEE,SCB Fund Click,,,,2609.43,2496.0,2504.0,2499.38,2711.0,2500.0,7824.43,7495.38
EM (India / China / VN),0.06,SCBINDIAE,SCB Fund Click,0.5,7118.79,7499.778761061946,18488.45,19000.0,25021.0,25999.0,27279.0,27999.0,77907.24,80497.77876106194
EM (India / China / VN),0.036,SCBVIET(E),SCB Fund Click,0.3,114.15,100.00000000000001,118.96,100.0,116.49,100.0,111.0,99.36,460.6,399.36
Bond / Defensive,0.028499999999999998,SGOV,SCB InvestX,0.95,63283.5,63448.46601163024,64709.89,64875.449400000005,,64875.449400000005,66429.0,66397.98,194422.39,259597.34481163026
Bond / Defensive,0.0015000000000000002,SCBTB(ThaiESGE),SCB Fund Click,0.05,15728.24,,15388.0,16699.0,15215.0,16700.0,15509.0,14318.0,61840.24,47717.0
Satellite / Thematic,0.012000000000000002,CLOU,Dime,0.4,26720.96,27956.643649299018,30862.1,28757.088,33888.0,28935.427900000002,26662.8,21476.85,118133.86,107126.00954929902
Satellite / Thematic,0.018,SCBGENOME(E),SCB Fund Click,0.6,1328.25,1349.9847545482264,3852.79,3600.79,5266.0,4599.92,6677.0,5350.0,17124.04,14900.694754548225
Cash / Liquidity,0.06999999999999999,CASH-THB,Dime,0.2,77891.52,77891.52,63892.0,63892.0,28686.0,28686.0,23821.0,23821.0,194290.52000000002,194290.52000000002
Cash / Liquidity,0.0,CASH-USD,Dime,0.0,0.0,0.0,,,38602.0,38602.0,2965.0,2965.0,41567.0,41567.0
Cash / Liquidity,0.27999999999999997,CASH-FCD,Dime,0.8,89396.22,89396.22,74802.2493,74802.2493,58757.0,58757.0,45403.0,45403.0,268358.4693,268358.4693
Cash / Liquidity,0.0,THB-SCB,SCB InvestX,,,,,,11286.0,11286.0,11000.0,11000.0,22286.0,22286.0
Cash / Liquidity,0.0,THB-Kbank,Kbank,,,,,,79100.0,79100.0,50000.0,50000.0,129100.0,129100.0
Cash / Liquidity,0.0,CASH,Binance TH,0.0,8510.0,8510.0,8509.0,8509.0,1000.0,1000.0,0.0,0.0,18019.0,18019.0
Multi-Asset / Satellite,,TCHSTRAT,Dime,1.0,5074.6,5000.098531875063,5485.0,5000.0,5640.0,5000.0,5493.0,5001.0,21692.6,20001.09853187506
Multi-Asset / Satellite,0.010000000000000002,TJREIT,Dime,,,,,,,,21403.0,20000.0,21403.0,20000.0
Multi-Asset / Satellite,0.0,SCBRARE(A),Dime,,,,,,,,9334.0,9999.0,9334.0,9999.0
Satellite / Commodity,0.0,DBO,Dime,1.0,75018.0,54086.51766402307,89166.0,54957.0241,40835.0,24795.9392,0.0,0.0,205019.0,133839.48096402307
Thailand / Legacy,0.03,S,SCB InvestX,0.25,101412.0,174938.761428325,93900.0,174940.0,0.0,0.0,,0.0,195312.0,349878.761428325
Thailand / Legacy,0.0025000000000000005,CIMBT,SCB InvestX,0.25,13320.0,25620.3115983843,13320.0,25619.989999999998,13320.0,25619.0,13320.0,25619.0,53280.0,102478.3015983843
Thailand / Legacy,0.0025000000000000005,SAT,SCB InvestX,0.5,10150.0,8178.887993553585,10600.0,8139.0,10710.0,7834.0,11340.0,7834.0,42800.0,31985.887993553584
