Fund/stock,current,cost,pnl,type
BTC,231205.74,229698.8046704928,1506.9353295071924,Ticker
DBO,205019.0,133839.48096402307,71179.51903597693,Ticker
S,195312.0,349878.761428325,-154566.76142832497,Ticker
SGOV,194422.39,259597.34481163023,-65174.95481163022,Ticker
CLOU,118133.86,107126.00954929902,11007.850450700978,Ticker
NVO,72261.97,83528.0128488922,-11266.042848892204,Ticker
VOO,63306.8434,65202.54034586937,-1895.6969458693711,Ticker
MCHI,60068.11,62667.728735436016,-2599.6187354360154,Ticker
CIMBT,53280.0,102478.3015983843,-49198.30159838431,Ticker
SAT,42800.0,31985.887993553584,10814.112006446416,Ticker
GLDM,26824.0,27773.6244,-949.6244000000006,Ticker
TJREIT,21403.0,20000.0,1403.0,Ticker
CASH,18019.0,18019.0,0.0,Ticker
SCBCEE,7824.43,7495.38,329.0500000000002,Ticker
PG,273.95,193.9965058444176,79.95349415558238,Ticker
MCD,142.44,240.466561038714,-98.026561038714,Ticker
